"AI Plush — Home","AI Plush — Trang chủ"
"Support","Hỗ trợ"
"My Account","Tài khoản"
"Wishlist","Yêu thích"
"My Cart","Giỏ hàng"
"Dismiss announcement","Đóng thông báo"
"Back to top","Lên đầu trang"
"Follow AI Plush","Theo dõi AI Plush"
"Join the community","Tham gia cộng đồng"
"Get news on new plushies, exclusive offers and more.","Nhận tin bé mới, ưu đãi độc quyền và nhiều hơn nữa."
"Contact","Liên hệ"
"Chat","Chat"
"Mon–Sun · 8:00–22:00","T2–CN · 8:00–22:00"
"Chat now","Chat ngay"
"Email","Email"
"Send email","Gửi email"
"Vietnam","Việt Nam"
"Google Play","Google Play"
"App Store","App Store"
"This is a required field.","Đây là trường bắt buộc."
"Please enter a valid email address (Ex: johndoe@domain.com).","Vui lòng nhập email hợp lệ (VD: ten@domain.com)."
"Search entire store here...","Tìm bé yêu của bạn…"
"Subscribe","Đăng ký"
"Enter your email address","Email của bạn"
